
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"
	CJWI	 01.1.8 Sugar, jam, syrups, chocolate and confectionery	11	13	11	12	12	11	12	12	12	12	13	13	13	12	13	11	12	13	14	11	12	12	13	11.4536	11.7476	11.6371	11.9762	11.8856	12.3026
	L85B	01.1.8.1 Sugar	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.48	0.72	0.72	0.78	0.65	0.65	0.60	0.65	0.55	0.60	0.65	0.70	0.44	0.48	0.72	0.78	0.5947	0.5995	0.4955	0.4894	0.4656	0.4660
	L85C	01.1.8.2 Jams, marmalades and honey	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.60	0.84	0.84	0.91	1.17	1.17	1.08	1.17	0.99	0.96	1.17	1.12	0.88	0.96	1.20	1.30	0.9224	0.9367	0.7772	0.7836	0.7648	0.7820
	L85D	01.1.8.3 Chocolate	 ..	 ..	 ..	 ..	 ..	 ..	 ..	4.92	5.52	5.28	5.72	6.37	6.37	5.64	6.37	5.39	6.12	6.37	7.00	5.50	6.12	5.52	5.98	5.4931	5.6663	6.1781	6.4746	6.2831	6.5619
	L85E	01.1.8.4 Confectionery products	 ..	 ..	 ..	 ..	 ..	 ..	 ..	4.44	3.24	3.48	3.77	2.86	2.86	2.76	2.86	2.53	2.64	2.86	3.08	2.31	2.40	2.28	2.47	2.3607	2.3734	2.2982	2.3025	2.5128	2.5519
	L85F	01.1.8.5 Edible ices and ice cream	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.56	1.68	1.68	1.82	1.95	1.95	1.92	1.95	1.54	1.68	1.95	2.10	1.87	2.04	2.28	2.47	2.0826	2.1718	1.8880	1.9261	1.8592	1.9407
	CJWJ	 01.1.9 Food products (nec)	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	5	5	5	5	4.9444	4.9253	4.5699	4.5488	4.8132	4.7492
	L85G	01.1.9.1 Sauces, condiments	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.44	1.44	1.44	1.44	0.96	0.96	0.98	0.96	1.44	1.44	1.38	1.38	2.40	2.40	2.45	2.45	2.4980	2.4476	2.1731	2.1673	2.2711	2.2142
	L85H	01.1.9.4 Ready-made meals	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.08	1.08	1.08	1.08	0.72	0.72	0.72	0.74	1.08	1.08	1.14	1.14	1.80	1.80	1.70	1.70	1.6515	1.6569	1.6846	1.6899	1.7716	1.7716
	L85I	01.1.9.9 Other food products n.e.c.  	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.48	0.48	0.48	0.48	0.32	0.32	0.30	0.30	0.48	0.48	0.48	0.48	0.80	0.80	0.85	0.85	0.7949	0.8208	0.7122	0.6916	0.7705	0.7635
